ChEMBL ID,Smiles
CHEMBL1555120,CN1C(=O)N(C)C2=NNC=NC2(O)C1=O
CHEMBL4580109,COc1ccc2cc(C(=O)Nc3cn[nH]c3)cnc2c1
CHEMBL2069081,C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](/C=N/OCCCCN)CC[C@]12O
CHEMBL367159,CC(C)(C)c1ccc(S(=O)(=O)N[C@@H](CNC(=O)C2=NOC(CCCCN=C(N)N)C2)C(=O)O)cc1
CHEMBL4852746,BrC1=NOC(c2nc(-c3ccccc3)no2)C1
CHEMBL5986605,COC1=CC=CN2N=C(CCc3nc(-c4ccc(C)o4)cn3C)NC12
CHEMBL6016137,COc1cc(C(=O)N2CCC(c3nnc(N)cc3C)CC2)ncc1Oc1ccc(F)cc1
CHEMBL1610058,COc1cc(OC)c(-c2nnc3n(CCc4ccccc4)c(=O)c4ccccc4n23)cc1OC
CHEMBL2272386,CC1=C[C@H]2C(=O)O[C@H]3C[C@@H](C/C=C(\C)C[C@@H](C)/C=C/C=C(\C=O)[C@]2(O)[C@H](O)[C@@H]1O)O[C@@]1(CC[C@H](C)[C@@H](C)O1)C3
CHEMBL4970122,CNc1ncc(C(=O)Nc2ccc(OCc3cccnc3)cc2)s1
CHEMBL600284,CCC(C)(C#CCN1CCCC1)OC(C)=O
CHEMBL3978347,N#Cc1nc(-c2ccc(OCCC3CCNCC3)c(C(F)(F)F)c2)c2ccn(C3CCOCC3)c2n1
CHEMBL3621313,COC(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](OC(=O)CN5CCNCC5)CC[C@]4(C)[C@H]3CC[C@]12C.Cl
CHEMBL3496444,O=C(NCCc1cccc(F)c1)NCC(O)c1cccc(F)c1
CHEMBL3551968,Fc1ccc(CNCC2Cn3nncc3CO2)cc1
CHEMBL5594148,O=C1C=C(NCc2cn(-c3ccc(C(F)(F)F)cc3)nn2)C(=O)c2ccccc21
CHEMBL2048432,CCCC(=O)Nc1cccc(NC(=O)c2cccc(Oc3ccccc3)c2)c1
CHEMBL5922000,C=CC(=O)NCc1cc2c(cn1)CN(c1c(F)c(OC)cc(OC)c1F)C(=O)N2Cc1cnn(C)c1
CHEMBL3360320,COc1ccc(-c2cccc3nc(N(C)C)nn23)cc1
CHEMBL4961155,CCOC(=O)c1c(CN(C)C)n(-c2ccc(OC)cc2)c2ccc(Oc3nccc(Nc4ccccc4)c3C#N)cc12
CHEMBL1498794,CCCSc1ncnc2sc(C)c(C)c12
CHEMBL3699449,COCC(O)CNC(=O)Cc1nc2ccc(-c3ccccc3)cc2s1
CHEMBL4949887,C=CCC[C@H](C)Nc1ccc2c(c1)oc(=O)n2C
CHEMBL4933336,Cc1cnc(CNc2nc(C(C)C)no2)o1
CHEMBL3553953,Cn1cnc(S(=O)(=O)N2C[C@H]3CN(Cc4cccnc4)C[C@H]3C2)c1
CHEMBL1697697,Cl.Nc1cc(Cl)cc(Cl)c1
CHEMBL1513607,Cc1cn2c(=O)c(S(=O)(=O)Nc3ccc(OC(F)(F)F)cc3)c(C)nc2s1
CHEMBL5081982,CNC(=O)c1ccnc(NC(=O)C2=C(C)NC(Nc3nc4ccccc4o3)=NC2c2ccccc2Cl)c1
CHEMBL3693268,Cc1nc2ccc(C3CC3)nc2n2c(-c3cc(O)ccc3Cl)nnc12
CHEMBL4285714,CN(C)CCOC(=O)/C=C/c1ccc2oc(C(=O)Nc3ccccc3)cc(=O)c2c1
CHEMBL4982274,O=c1n(CCCc2nc(-c3ccccc3)no2)nc2ccccn12
CHEMBL5182510,COc1ccc(-c2cccc(S(=O)(=O)N[C@@H](Cc3cccc(C(=N)N)c3)C(=O)N3CCN(C(=O)NC4CCCCC4)CC3)c2)c(OC)c1
